Data type,Profession,Year,Age group,Sex,Indigenous status,State or territory,Geospatial type,Geospatial name,Geospatial code,Job classification,Job type,Measure,Data
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Central and Eastern Sydney,101,,,FTE Clinical,331
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Central and Eastern Sydney,101,,,FTE Total,401
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Central and Eastern Sydney,101,,,Mean of Hours Clinical,30
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Central and Eastern Sydney,101,,,Mean of Hours Total,37
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Central and Eastern Sydney,101,,,Number of Practitioners,433
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Central and Eastern Sydney,101,,,"Number of Practitioners per 100,000 population",27
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Northern Sydney,102,,,FTE Clinical,188
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Northern Sydney,102,,,FTE Total,222
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Northern Sydney,102,,,Mean of Hours Clinical,30
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Northern Sydney,102,,,Mean of Hours Total,36
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Northern Sydney,102,,,Number of Practitioners,247
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Northern Sydney,102,,,"Number of Practitioners per 100,000 population",26
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western Sydney,103,,,FTE Clinical,99
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western Sydney,103,,,FTE Total,121
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western Sydney,103,,,Mean of Hours Clinical,31
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western Sydney,103,,,Mean of Hours Total,38
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western Sydney,103,,,Number of Practitioners,127
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western Sydney,103,,,"Number of Practitioners per 100,000 population",11
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Nepean Blue Mountains,104,,,FTE Clinical,37
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Nepean Blue Mountains,104,,,FTE Total,43
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Nepean Blue Mountains,104,,,Mean of Hours Clinical,33
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Nepean Blue Mountains,104,,,Mean of Hours Total,39
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Nepean Blue Mountains,104,,,Number of Practitioners,45
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Nepean Blue Mountains,104,,,"Number of Practitioners per 100,000 population",11
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Western Sydney,105,,,FTE Clinical,52
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Western Sydney,105,,,FTE Total,60
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Western Sydney,105,,,Mean of Hours Clinical,31
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Western Sydney,105,,,Mean of Hours Total,36
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Western Sydney,105,,,Number of Practitioners,66
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Western Sydney,105,,,"Number of Practitioners per 100,000 population",6
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Eastern NSW,106,,,FTE Clinical,48
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Eastern NSW,106,,,FTE Total,54
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Eastern NSW,106,,,Mean of Hours Clinical,33
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Eastern NSW,106,,,Mean of Hours Total,37
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Eastern NSW,106,,,Number of Practitioners,58
Geospatial,Psychiatrists,2023,,,,NSW,PHN,South Eastern NSW,106,,,"Number of Practitioners per 100,000 population",8
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western NSW,107,,,FTE Clinical,29
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western NSW,107,,,FTE Total,33
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western NSW,107,,,Mean of Hours Clinical,29
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western NSW,107,,,Mean of Hours Total,33
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western NSW,107,,,Number of Practitioners,40
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Western NSW,107,,,"Number of Practitioners per 100,000 population",12
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Hunter New England and Central Coast,108,,,FTE Clinical,95
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Hunter New England and Central Coast,108,,,FTE Total,112
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Hunter New England and Central Coast,108,,,Mean of Hours Clinical,29
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Hunter New England and Central Coast,108,,,Mean of Hours Total,34
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Hunter New England and Central Coast,108,,,Number of Practitioners,131
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Hunter New England and Central Coast,108,,,"Number of Practitioners per 100,000 population",9
Geospatial,Psychiatrists,2023,,,,NSW,PHN,North Coast,109,,,FTE Clinical,50
Geospatial,Psychiatrists,2023,,,,NSW,PHN,North Coast,109,,,FTE Total,59
Geospatial,Psychiatrists,2023,,,,NSW,PHN,North Coast,109,,,Mean of Hours Clinical,30
Geospatial,Psychiatrists,2023,,,,NSW,PHN,North Coast,109,,,Mean of Hours Total,35
Geospatial,Psychiatrists,2023,,,,NSW,PHN,North Coast,109,,,Number of Practitioners,67
Geospatial,Psychiatrists,2023,,,,NSW,PHN,North Coast,109,,,"Number of Practitioners per 100,000 population",12
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Murrumbidgee,110,,,FTE Clinical,6
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Murrumbidgee,110,,,FTE Total,7
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Murrumbidgee,110,,,Mean of Hours Clinical,28
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Murrumbidgee,110,,,Mean of Hours Total,32
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Murrumbidgee,110,,,Number of Practitioners,9
Geospatial,Psychiatrists,2023,,,,NSW,PHN,Murrumbidgee,110,,,"Number of Practitioners per 100,000 population",3
Geospatial,Psychiatrists,2023,,,,Vic,PHN,North Western Melbourne,201,,,FTE Clinical,374
Geospatial,Psychiatrists,2023,,,,Vic,PHN,North Western Melbourne,201,,,FTE Total,463
Geospatial,Psychiatrists,2023,,,,Vic,PHN,North Western Melbourne,201,,,Mean of Hours Clinical,30
Geospatial,Psychiatrists,2023,,,,Vic,PHN,North Western Melbourne,201,,,Mean of Hours Total,37
Geospatial,Psychiatrists,2023,,,,Vic,PHN,North Western Melbourne,201,,,Number of Practitioners,494
Geospatial,Psychiatrists,2023,,,,Vic,PHN,North Western Melbourne,201,,,"Number of Practitioners per 100,000 population",26
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Eastern Melbourne,202,,,FTE Clinical,240
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Eastern Melbourne,202,,,FTE Total,296
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Eastern Melbourne,202,,,Mean of Hours Clinical,30
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Eastern Melbourne,202,,,Mean of Hours Total,37
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Eastern Melbourne,202,,,Number of Practitioners,314
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Eastern Melbourne,202,,,"Number of Practitioners per 100,000 population",20
Geospatial,Psychiatrists,2023,,,,Vic,PHN,South Eastern Melbourne,203,,,FTE Clinical,167
Geospatial,Psychiatrists,2023,,,,Vic,PHN,South Eastern Melbourne,203,,,FTE Total,206
Geospatial,Psychiatrists,2023,,,,Vic,PHN,South Eastern Melbourne,203,,,Mean of Hours Clinical,28
Geospatial,Psychiatrists,2023,,,,Vic,PHN,South Eastern Melbourne,203,,,Mean of Hours Total,34
Geospatial,Psychiatrists,2023,,,,Vic,PHN,South Eastern Melbourne,203,,,Number of Practitioners,238
Geospatial,Psychiatrists,2023,,,,Vic,PHN,South Eastern Melbourne,203,,,"Number of Practitioners per 100,000 population",14
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Gippsland,204,,,FTE Clinical,13
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Gippsland,204,,,FTE Total,14
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Gippsland,204,,,Mean of Hours Clinical,28
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Gippsland,204,,,Mean of Hours Total,33
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Gippsland,204,,,Number of Practitioners,18
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Gippsland,204,,,"Number of Practitioners per 100,000 population",5
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Murray,205,,,FTE Clinical,56
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Murray,205,,,FTE Total,68
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Murray,205,,,Mean of Hours Clinical,30
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Murray,205,,,Mean of Hours Total,36
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Murray,205,,,Number of Practitioners,75
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Murray,205,,,"Number of Practitioners per 100,000 population",11
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Western Victoria,206,,,FTE Clinical,71
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Western Victoria,206,,,FTE Total,85
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Western Victoria,206,,,Mean of Hours Clinical,30
Geospatial,Psychiatrists,2023,,,,Vic,PHN,Western Victoria,206,,,Mean of Hours Total,36
